timestamp,app_name,minutes_away
2023-11-05 07:02:12,gcc is not recognized as an internal or external command | bobbyhadz — Mozilla Firefox,0
2023-11-05 07:02:12,Colaborar - Análise do Discurso (3741671901) — Mozilla Firefox,0
2023-11-05 07:02:12,Colaborar - Algoritmos e Programação Estruturada (3711938701) — Mozilla Firefox,0
2023-11-05 07:02:27,Colaborar - Algoritmos e Programação Estruturada (3711938701) — Mozilla Firefox,0
2023-11-05 07:02:27,Mozilla Firefox,0
2023-11-05 07:02:27,Colaborar - TA2 - ALGORITMOS E PROGRAMAÇÃO ESTRUTURADA — Mozilla Firefox,0
2023-11-05 07:02:43,Colaborar - TA2 - ALGORITMOS E PROGRAMAÇÃO ESTRUTURADA — Mozilla Firefox,0
2023-11-05 07:02:43,Task Switching,0
2023-11-05 07:02:43,5-TopInvest_Excel_Para_o_Mercado_Financeiro_Gabriel_Ramos-004.mp4 - VLC media player,0
2023-11-05 07:02:43,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:02:58,Aula1.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:02:58,Snap Assist,0
2023-11-05 07:02:58,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:03:13,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:03:28,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:03:43,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:03:59,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,1
2023-11-05 07:03:59,Task Switching,1
2023-11-05 07:03:59,Colaborar - TA2 - ALGORITMOS E PROGRAMAÇÃO ESTRUTURADA — Mozilla Firefox,1
2023-11-05 07:04:14,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,1
2023-11-05 07:04:29,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:04:44,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:04:44,Snap Assist,0
2023-11-05 07:04:59,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
2023-11-05 07:04:59,Colaborar - TA2 - ALGORITMOS E PROGRAMAÇÃO ESTRUTURADA — Mozilla Firefox,0
2023-11-05 07:05:15,Colaborar - TA2 - ALGORITMOS E PROGRAMAÇÃO ESTRUTURADA — Mozilla Firefox,0
2023-11-05 07:05:15,Task Switching,0
2023-11-05 07:05:15,Aula2.c - Anhanguera - Algoritmos e Programação Estruturada - Visual Studio Code,0
